SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
ADCY9	ADCY9	115	3060100	ILMN_1654287	-5.550193
ADCYAP1	ADCYAP1	116	3060064	ILMN_1763344	-17.76899
ADCYAP1R1	ADCYAP1R1	117	7100020	ILMN_1711736	-6.810865
ADD1	ADD1	118	5900685	ILMN_1759252	3668.806
ADD2	ADD2	119	6250193	ILMN_1694133	12.76692
ADD3	ADD3	120	1990468	ILMN_1814526	1727.488
ADGB	ADGB	79747	990367	ILMN_1666316	8.786605
ADGRA1	ADGRA1	84435	4640255	ILMN_1733541	-3.931263
ADGRA2	ADGRA2	25960	6040736	ILMN_1773059	8.376675
ADGRA3	ADGRA3	166647	5260369	ILMN_1674181	2.273495
ADGRB1	ADGRB1	575	3060253	ILMN_1729529	29.96276
ADGRB2	ADGRB2	576	2370474	ILMN_1773109	-14.9967
ADGRB3	ADGRB3	577	5690301	ILMN_1671076	-3.24306
ADGRD1	ADGRD1	283383	5290603	ILMN_1682487	-0.5961948
ADGRD2	ADGRD2	347088	3780026	ILMN_1798488	-1.930395
ADGRE1	ADGRE1	2015	2510356	ILMN_1780601	159.4349
ADGRE2	ADGRE2	30817	2140136	ILMN_2353633	1049.663
ADGRE3	ADGRE3	84658	1030209	ILMN_2348487	384.3751
ADGRE4P	ADGRE4P	326342	7320324	ILMN_3243190	36.40715
ADGRE5	ADGRE5	976	6960630	ILMN_1673363	5888.142
ADGRF1	ADGRF1	266977	6650202	ILMN_1744299	6.365026
ADGRF2	ADGRF2	222611	2370326	ILMN_1715390	-10.61039
ADGRF3	ADGRF3	165082	3830097	ILMN_1762897	4.341564
ADGRF4	ADGRF4	221393	5270437	ILMN_1684653	-16.94675
ADGRF5	ADGRF5	221395	2510142	ILMN_3220268	17.09455
ADGRG1	ADGRG1	9289	4890241	ILMN_2352097	458.4711
ADGRG2	ADGRG2	10149	2230072	ILMN_1751885	5.892187
ADGRG3	ADGRG3	222487	4230441	ILMN_1765941	269.0178
ADGRG4	ADGRG4	139378	5090601	ILMN_2115534	16.40154
ADGRG5	ADGRG5	221188	7380273	ILMN_1666902	212.9167
ADGRG6	ADGRG6	57211	830523	ILMN_2367010	4.782379
ADGRG7	ADGRG7	84873	50162	ILMN_2125395	6.252697
ADGRL1	ADGRL1	22859	770474	ILMN_1813175	62.06384
ADGRL2	ADGRL2	23266	1240615	ILMN_1697548	-7.372769
ADGRL3	ADGRL3	23284	1170739	ILMN_1692623	-3.296865
ADGRL4	ADGRL4	64123	6040070	ILMN_3240520	-3.775584
ADGRV1	ADGRV1	84059	3360750	ILMN_1690621	-4.350098
ADH1A	ADH1A	124	3370347	ILMN_1764309	3.306415
ADH1B	ADH1B	125	2490612	ILMN_1811598	-6.206837
ADH1C	ADH1C	126	1510750	ILMN_1740717	-0.5013487
ADH4	ADH4	127	5490382	ILMN_2136010	20.4752
ADH5	ADH5	128	4860066	ILMN_1738554	102.1482
ADH6	ADH6	130	3800368	ILMN_1691175	15.2233
ADH7	ADH7	131	3520709	ILMN_2223359	1.861964
ADHFE1	ADHFE1	137872	2760121	ILMN_1702858	88.69936
ADI1	ADI1	55256	6620278	ILMN_1813975	36.32276
ADIG	ADIG	149685	3800722	ILMN_1743331	-10.64169
ADIPOQ	ADIPOQ	9370	4200471	ILMN_1775045	29.31399
ADIPOR1	ADIPOR1	51094	6100767	ILMN_1688322	2836.152
ADIPOR2	ADIPOR2	79602	6960685	ILMN_2224833	294.5972
ADIRF	ADIRF	10974	6290168	ILMN_1680110	7.672335
ADIRF-AS1	ADIRF-AS1	100133190	940482	ILMN_3195497	2.314111
ADISSP	ADISSP	54976	2750647	ILMN_1697363	414.5863
ADK	ADK	132	1030241	ILMN_2358626	308.9328
ADM	ADM	133	5670465	ILMN_1708934	2826.017
ADM2	ADM2	79924	3610626	ILMN_1702933	34.24727
ADM5	ADM5	199800	5960735	ILMN_1855430	22.32392
ADNP	ADNP	23394	360678	ILMN_1657993	267.7266
ADNP2	ADNP2	22850	7330270	ILMN_2080751	149.1478
ADO	ADO	84890	4480546	ILMN_1690352	279.2465
ADORA1	ADORA1	134	4060519	ILMN_1747227	64.44408
ADORA2A	ADORA2A	135	7560440	ILMN_1807372	386.2544
ADORA2A-AS1	ADORA2A-AS1	646023	6130670	ILMN_1668353	11.75876
ADORA2B	ADORA2B	136	2060040	ILMN_1703946	40.59095
ADORA3	ADORA3	140	6580482	ILMN_1730710	29.43549
ADPGK	ADPGK	83440	5550619	ILMN_1793959	482.5756
ADPRH	ADPRH	141	5550369	ILMN_1794512	64.93807
ADPRHL1	ADPRHL1	113622	5570446	ILMN_1788530	21.66238
ADPRM	ADPRM	56985	6580129	ILMN_1702526	113.0525
