expression_sample_id	matched_geo_accessions	n_matched_geo_accessions	matched_metadata_fields	mapping_status
DU14-03S0035212	GSM6480025 | GSM6480025	1	title_contains	unique_metadata_match
DU14-03S0000944	GSM6480009 | GSM6480009	1	title_contains	unique_metadata_match
DU10-01S0000012	GSM6479958 | GSM6479958	1	title_contains	unique_metadata_match
DU09-03S0000120	GSM6479937 | GSM6479937	1	title_contains	unique_metadata_match
DU14-03S0035206	GSM6480019 | GSM6480019	1	title_contains	unique_metadata_match
DU10-01S0000002	GSM6479948 | GSM6479948	1	title_contains	unique_metadata_match
DU14-03S0000935	GSM6480000 | GSM6480000	1	title_contains	unique_metadata_match
DU14-03S0035222	GSM6480034 | GSM6480034	1	title_contains	unique_metadata_match
DU16-02S0003199	GSM6480076 | GSM6480076	1	title_contains	unique_metadata_match
DU16-02S0003170	GSM6480062 | GSM6480062	1	title_contains	unique_metadata_match
DU16-02S0003114	GSM6480041 | GSM6480041	1	title_contains	unique_metadata_match
DU14-03S0035226	GSM6480037 | GSM6480037	1	title_contains	unique_metadata_match
DU14-03S0035213	GSM6480026 | GSM6480026	1	title_contains	unique_metadata_match
DU14-03S0000936	GSM6480001 | GSM6480001	1	title_contains	unique_metadata_match
136848	GSM6479889 | GSM6479889	1	title_contains	unique_metadata_match
DU10-01S0000100	GSM6479978 | GSM6479978	1	title_contains	unique_metadata_match
DU14-03S0000938	GSM6480003 | GSM6480003	1	title_contains	unique_metadata_match
DU14-03S0035216	GSM6480029 | GSM6480029	1	title_contains	unique_metadata_match
DU16-02S0003112	GSM6480039 | GSM6480039	1	title_contains	unique_metadata_match
DU16-02S0003191	GSM6480073 | GSM6480073	1	title_contains	unique_metadata_match
DU10-01S0000099	GSM6479977 | GSM6479977	1	title_contains	unique_metadata_match
DU14-03S0035204	GSM6480017 | GSM6480017	1	title_contains	unique_metadata_match
DU14-03S0000940	GSM6480005 | GSM6480005	1	title_contains	unique_metadata_match
DU16-02S0003200	GSM6480077 | GSM6480077	1	title_contains	unique_metadata_match
DU16-02S0003149	GSM6480055 | GSM6480055	1	title_contains	unique_metadata_match
DU16-02S0003115	GSM6480042 | GSM6480042	1	title_contains	unique_metadata_match
DU16-02S0003122	GSM6480045 | GSM6480045	1	title_contains	unique_metadata_match
DU16-02S0003150	GSM6480056 | GSM6480056	1	title_contains	unique_metadata_match
DU16-02S0003129	GSM6480048 | GSM6480048	1	title_contains	unique_metadata_match
DU14-03S0035201	GSM6480015 | GSM6480015	1	title_contains	unique_metadata_match
