SYMBOL_UPPER	SYMBOL	ENTREZID	ARRAY_ID	ID_REF	median_expression
ADH1C	ADH1C	126	1510750	ILMN_1740717	-0.30554615
ADH4	ADH4	127	5490382	ILMN_2136010	17.21642
ADH5	ADH5	128	4860066	ILMN_1738554	99.415195
ADH6	ADH6	130	3800368	ILMN_1691175	15.03237
ADH7	ADH7	131	3520709	ILMN_2223359	1.9823395
ADHFE1	ADHFE1	137872	2760121	ILMN_1702858	74.09034
ADI1	ADI1	55256	6620278	ILMN_1813975	36.443865
ADIG	ADIG	149685	3800722	ILMN_1743331	-11.003545
ADIPOQ	ADIPOQ	9370	4200471	ILMN_1775045	29.961065
ADIPOR1	ADIPOR1	51094	6100767	ILMN_1688322	2802.1
ADIPOR2	ADIPOR2	79602	6960685	ILMN_2224833	301.7817
ADIRF	ADIRF	10974	6290168	ILMN_1680110	7.7038835
ADIRF-AS1	ADIRF-AS1	100133190	940482	ILMN_3195497	1.8444795
ADISSP	ADISSP	54976	2750647	ILMN_1697363	412.7133
ADK	ADK	132	1030241	ILMN_2358626	305.8759
ADM	ADM	133	5670465	ILMN_1708934	3748.0615
ADM2	ADM2	79924	3610626	ILMN_1702933	38.589935
ADM5	ADM5	199800	5960735	ILMN_1855430	21.919455
ADNP	ADNP	23394	360678	ILMN_1657993	258.13495
ADNP2	ADNP2	22850	7330270	ILMN_2080751	146.794
ADO	ADO	84890	4480546	ILMN_1690352	268.97345
ADORA1	ADORA1	134	4060519	ILMN_1747227	62.984255
ADORA2A	ADORA2A	135	7560440	ILMN_1807372	411.04945
ADORA2A-AS1	ADORA2A-AS1	646023	6130670	ILMN_1668353	12.608675
ADORA2B	ADORA2B	136	2060040	ILMN_1703946	46.79339
ADORA3	ADORA3	140	6580482	ILMN_1730710	27.61536
ADPGK	ADPGK	83440	5550619	ILMN_1793959	512.3927
ADPRH	ADPRH	141	5550369	ILMN_1794512	74.627645
ADPRHL1	ADPRHL1	113622	5570446	ILMN_1788530	21.748275
ADPRM	ADPRM	56985	6580129	ILMN_1702526	110.18395
ADPRS	ADPRS	54936	730010	ILMN_1811480	405.4961
ADRA1A	ADRA1A	148	1110731	ILMN_1780551	16.164885
ADRA1B	ADRA1B	147	2140022	ILMN_1679754	4.2939515
ADRA1D	ADRA1D	146	1340630	ILMN_1716421	-3.803717
ADRA2A	ADRA2A	150	5720523	ILMN_1659371	72.521765
