ID_REF	ARRAY_ID	SYMBOL	ENTREZID	ENSEMBL	SYMBOL_UPPER
ILMN_1652580	290731	POLD1	5424	ENSG00000062822	POLD1
ILMN_1652594	2690670	ACTR5	79913	ENSG00000101442	ACTR5
ILMN_1652602	6180553	LMNTD2	256329	ENSG00000185522	LMNTD2
ILMN_1652602	6180553	LMNTD2	256329	ENSG00000275873	LMNTD2
ILMN_1652604	5860639	GGT1	2678	ENSG00000100031	GGT1
ILMN_1652604	5860639	GGT3P	2679	ENSG00000197421	GGT3P
ILMN_1652604	5860639	GGT8P	645367		GGT8P
ILMN_1652609	450240	ARHGEF28	64283	ENSG00000214944	ARHGEF28
ILMN_1652611	5910520	C1D	10438	ENSG00000197223	C1D
ILMN_1652628	6220725				
ILMN_1652631	830278	GLIPR2	152007	ENSG00000122694	GLIPR2
ILMN_1652638	5340059				
ILMN_1652639	6480280				
ILMN_1652646	5340706	LOC100131257	100131257		LOC100131257
ILMN_1652647	5860343	INPP4A	3631	ENSG00000040933	INPP4A
ILMN_1652649	6350630	NECTIN2	5819	ENSG00000130202	NECTIN2
ILMN_1652650	4920328	SH3KBP1	30011	ENSG00000147010	SH3KBP1
ILMN_1652660	4010390				
ILMN_1652662	3120735	GRB10	2887	ENSG00000106070	GRB10
ILMN_1652666	5360035				
ILMN_1652670	4290639	PRAMEF1	65121	ENSG00000116721	PRAMEF1
