ID_REF	ARRAY_ID
ILMN_1758038	3360056
ILMN_2375973	7160167
ILMN_1690252	1340537
ILMN_2134062	4610369
ILMN_1805673	1780379
ILMN_1657283	1400209
ILMN_1808792	670360
ILMN_1761764	3310324
ILMN_1779190	6420044
ILMN_1796946	2100465
ILMN_1784583	4060639
ILMN_1681046	4070601
ILMN_1709474	5130736
ILMN_3237132	7210050
ILMN_1713731	6040259
ILMN_1692332	7510671
ILMN_2137544	1770630
ILMN_1735987	5130427
ILMN_1676042	20397
ILMN_1783443	1230722
ILMN_1729320	1450719
ILMN_2403534	5220278
ILMN_2276904	430152
ILMN_1751975	2900639
ILMN_2393149	5810154
ILMN_1680996	1780273
ILMN_1792150	2510037
ILMN_1651466	4560670
ILMN_1797875	3930343
ILMN_1678255	990685
ILMN_1752669	2570162
ILMN_2078697	540390
ILMN_1811238	5270519
ILMN_1734630	5810017
ILMN_1701603	6100356
ILMN_1693789	2600133
ILMN_1801851	2490376
ILMN_1750256	2140156
ILMN_1700596	4060037
ILMN_1702322	4570630
ILMN_1690636	4760487
ILMN_1792449	1450431
ILMN_1765674	2100626
ILMN_1787314	6940709
ILMN_1663897	50132
ILMN_1800958	50348
ILMN_1760889	2100286
ILMN_3236443	110521
ILMN_2191902	3520619
ILMN_1729325	6250762
ILMN_1803384	4230358
ILMN_1797432	1690187
ILMN_1794728	2850278
ILMN_1715988	2600022
ILMN_1713315	6400661
ILMN_2194619	6550360
ILMN_3246673	5050167
ILMN_1759670	520544
ILMN_2367172	3130154
ILMN_1792741	5870286
ILMN_1794384	1190678
ILMN_1688019	5960743
ILMN_1751092	6400438
ILMN_1697611	6450037
ILMN_1695446	4900433
ILMN_1662681	1110129
ILMN_1788462	50050
ILMN_1667994	3870619
ILMN_1788239	6520112
ILMN_1695759	6110280
ILMN_2397406	5720730
ILMN_1727258	7040402
ILMN_1723116	1400672
ILMN_1666258	4610594
ILMN_1660995	3780156
ILMN_1736412	5420152
ILMN_1778723	1580465
ILMN_1765460	4730598
ILMN_1725896	7100053
ILMN_1738233	3060349
ILMN_1670506	450176
ILMN_1779374	2340601
ILMN_2394242	7100093
ILMN_1727023	4900605
ILMN_1683901	1110706
ILMN_1750880	6900044
ILMN_1792409	3290646
ILMN_1748141	2070301
ILMN_1778788	6960079
ILMN_1759312	6660114
ILMN_1701589	70296
ILMN_1696830	1170474
ILMN_1786899	6940132
ILMN_1774447	150504
ILMN_1660854	990576
ILMN_1665307	2810072
ILMN_1731223	7150390
ILMN_1685834	360402
ILMN_1725297	4040152
ILMN_1665331	940450
ILMN_1713927	7320450
ILMN_1797796	1030161
ILMN_2294762	1740220
ILMN_2408219	4180626
ILMN_2094262	840500
ILMN_2094261	4070164
ILMN_1726327	5550288
ILMN_1663313	1820068
ILMN_1719031	1440403
ILMN_2131123	2450347
ILMN_1801303	3130296
ILMN_1751102	7380121
ILMN_1694882	4810176
ILMN_2073157	7000754
ILMN_1785742	4730402
ILMN_2309549	270739
ILMN_1801606	510328
ILMN_1664435	460609
ILMN_1804812	730647
ILMN_1659553	7210259
ILMN_1770378	6840706
ILMN_2343563	10220
ILMN_1726281	4230544
ILMN_1753773	4540162
ILMN_1722102	4760288
ILMN_1674988	6590537
ILMN_1793894	6250382
ILMN_1733096	3870424
ILMN_1813243	4180634
ILMN_1802973	6450021
ILMN_1723177	4730408
ILMN_2199284	160220
ILMN_1696974	3890484
ILMN_1760727	3930392
ILMN_1665871	5550086
ILMN_1736340	1820441
ILMN_1677723	3120326
ILMN_2086890	3360066
ILMN_3250067	3180689
ILMN_3250879	3360398
ILMN_1774207	3450066
ILMN_1758443	6040343
ILMN_1669773	1230039
ILMN_2145501	2030450
ILMN_1772612	7650672
ILMN_1695193	1050561
