base_sample_id	sample_group	projection_role
Inflammatory_74	Inflammatory	exclude_from_primary_projection
Inflammatory_75	Inflammatory	exclude_from_primary_projection
Inflammatory_76	Inflammatory	exclude_from_primary_projection
Inflammatory_77	Inflammatory	exclude_from_primary_projection
Inflammatory_78	Inflammatory	exclude_from_primary_projection
Inflammatory_79	Inflammatory	exclude_from_primary_projection
Inflammatory_80	Inflammatory	exclude_from_primary_projection
Inflammatory_81	Inflammatory	exclude_from_primary_projection
Inflammatory_82	Inflammatory	exclude_from_primary_projection
Inflammatory_83	Inflammatory	exclude_from_primary_projection
Inflammatory_84	Inflammatory	exclude_from_primary_projection
Kawasaki_01	Kawasaki	exclude_from_primary_projection
Kawasaki_02	Kawasaki	exclude_from_primary_projection
Kawasaki_03	Kawasaki	exclude_from_primary_projection
Kawasaki_04	Kawasaki	exclude_from_primary_projection
Kawasaki_05	Kawasaki	exclude_from_primary_projection
Kawasaki_06	Kawasaki	exclude_from_primary_projection
Kawasaki_07	Kawasaki	exclude_from_primary_projection
Kawasaki_08	Kawasaki	exclude_from_primary_projection
Kawasaki_09	Kawasaki	exclude_from_primary_projection
Kawasaki_10	Kawasaki	exclude_from_primary_projection
Kawasaki_11	Kawasaki	exclude_from_primary_projection
Kawasaki_12	Kawasaki	exclude_from_primary_projection
Kawasaki_13	Kawasaki	exclude_from_primary_projection
Kawasaki_14	Kawasaki	exclude_from_primary_projection
Kawasaki_15	Kawasaki	exclude_from_primary_projection
Kawasaki_16	Kawasaki	exclude_from_primary_projection
Kawasaki_17	Kawasaki	exclude_from_primary_projection
Kawasaki_18	Kawasaki	exclude_from_primary_projection
Kawasaki_19	Kawasaki	exclude_from_primary_projection
Kawasaki_20	Kawasaki	exclude_from_primary_projection
Kawasaki_21	Kawasaki	exclude_from_primary_projection
Kawasaki_22	Kawasaki	exclude_from_primary_projection
Kawasaki_23	Kawasaki	exclude_from_primary_projection
Kawasaki_24	Kawasaki	exclude_from_primary_projection
Kawasaki_25	Kawasaki	exclude_from_primary_projection
Kawasaki_26	Kawasaki	exclude_from_primary_projection
Kawasaki_27	Kawasaki	exclude_from_primary_projection
Kawasaki_28	Kawasaki	exclude_from_primary_projection
Kawasaki_29	Kawasaki	exclude_from_primary_projection
Kawasaki_30	Kawasaki	exclude_from_primary_projection
Kawasaki_31	Kawasaki	exclude_from_primary_projection
Kawasaki_32	Kawasaki	exclude_from_primary_projection
Kawasaki_33	Kawasaki	exclude_from_primary_projection
Kawasaki_34	Kawasaki	exclude_from_primary_projection
Kawasaki_35	Kawasaki	exclude_from_primary_projection
Kawasaki_36	Kawasaki	exclude_from_primary_projection
Kawasaki_37	Kawasaki	exclude_from_primary_projection
Kawasaki_38	Kawasaki	exclude_from_primary_projection
Kawasaki_39	Kawasaki	exclude_from_primary_projection
Kawasaki_40	Kawasaki	exclude_from_primary_projection
Kawasaki_41	Kawasaki	exclude_from_primary_projection
Kawasaki_42	Kawasaki	exclude_from_primary_projection
Kawasaki_43	Kawasaki	exclude_from_primary_projection
Kawasaki_44	Kawasaki	exclude_from_primary_projection
Kawasaki_45	Kawasaki	exclude_from_primary_projection
Kawasaki_46	Kawasaki	exclude_from_primary_projection
Kawasaki_47	Kawasaki	exclude_from_primary_projection
Kawasaki_48	Kawasaki	exclude_from_primary_projection
Kawasaki_49	Kawasaki	exclude_from_primary_projection
Kawasaki_50	Kawasaki	exclude_from_primary_projection
Kawasaki_51	Kawasaki	exclude_from_primary_projection
Kawasaki_52	Kawasaki	exclude_from_primary_projection
Kawasaki_53	Kawasaki	exclude_from_primary_projection
Kawasaki_54	Kawasaki	exclude_from_primary_projection
Kawasaki_55	Kawasaki	exclude_from_primary_projection
Kawasaki_56	Kawasaki	exclude_from_primary_projection
Kawasaki_57	Kawasaki	exclude_from_primary_projection
Kawasaki_58	Kawasaki	exclude_from_primary_projection
Kawasaki_59	Kawasaki	exclude_from_primary_projection
Kawasaki_60	Kawasaki	exclude_from_primary_projection
Kawasaki_61	Kawasaki	exclude_from_primary_projection
Kawasaki_62	Kawasaki	exclude_from_primary_projection
Kawasaki_63	Kawasaki	exclude_from_primary_projection
Kawasaki_64	Kawasaki	exclude_from_primary_projection
Kawasaki_65	Kawasaki	exclude_from_primary_projection
Kawasaki_66	Kawasaki	exclude_from_primary_projection
Kawasaki_67	Kawasaki	exclude_from_primary_projection
Kawasaki_68	Kawasaki	exclude_from_primary_projection
Kawasaki_69	Kawasaki	exclude_from_primary_projection
Kawasaki_70	Kawasaki	exclude_from_primary_projection
Kawasaki_71	Kawasaki	exclude_from_primary_projection
Kawasaki_72	Kawasaki	exclude_from_primary_projection
Kawasaki_73	Kawasaki	exclude_from_primary_projection
Kawasaki_74	Kawasaki	exclude_from_primary_projection
Kawasaki_75	Kawasaki	exclude_from_primary_projection
Kawasaki_76	Kawasaki	exclude_from_primary_projection
Kawasaki_77	Kawasaki	exclude_from_primary_projection
Kawasaki_78	Kawasaki	exclude_from_primary_projection
Unknown_01	Unknown	exclude_from_primary_projection
Unknown_02	Unknown	exclude_from_primary_projection
Unknown_03	Unknown	exclude_from_primary_projection
Unknown_04	Unknown	exclude_from_primary_projection
Unknown_05	Unknown	exclude_from_primary_projection
Unknown_06	Unknown	exclude_from_primary_projection
Unknown_07	Unknown	exclude_from_primary_projection
Unknown_08	Unknown	exclude_from_primary_projection
Unknown_09	Unknown	exclude_from_primary_projection
Unknown_10	Unknown	exclude_from_primary_projection
Unknown_11	Unknown	exclude_from_primary_projection
Unknown_12	Unknown	exclude_from_primary_projection
Unknown_13	Unknown	exclude_from_primary_projection
Unknown_14	Unknown	exclude_from_primary_projection
